Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_obsservations;nombre_logements;methodologie_production
B0600;2014;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;5. Après 2005;;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;5. Après 2005;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;5. Après 2005;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;5. Après 2005;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;;;;10,2;11,6;13,5;15,9;18,9;13,3;430;525;660;809;995;693;52;21312;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;;Appart 1P;12,4;14,7;17,1;20,0;22,4;16,9;348;416;480;557;650;493;29;5226;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;;Appart 2P;10,6;12,2;14,0;15,9;18,0;14,0;447;520;611;700;795;618;44;8643;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;;Appart 3P;9,8;10,9;12,3;13,8;15,3;12,4;620;697;796;931;1040;821;66;5456;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;;Appart 4P et plus;8,9;10,3;11,7;12,9;13,8;11,6;745;867;1026;1200;1384;1052;91;1987;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;1. Moins 1 an;;11,4;12,7;14,6;17,1;20,0;14,4;447;537;676;810;1000;704;49;6592;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;1. Moins 1 an;Appart 1P;13,3;15,6;17,9;20,6;22,7;17,7;368;420;495;574;665;504;29;1782;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;1. Moins 1 an;Appart 2P;11,9;13,2;14,9;16,8;19,0;15,0;497;567;646;720;797;647;43;2752;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;1. Moins 1 an;Appart 3P;10,3;11,6;13,1;14,6;15,7;13,1;695;750;840;985;1084;865;66;1532;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;1. Moins 1 an;Appart 4P et plus;10,1;11,2;12,6;13,5;14,3;12,5;815;995;1100;1212;1393;1130;91;526;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;;2. Un an et plus;Appart 1P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;;2. Un an et plus;Appart 2P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;;2. Un an et plus;Appart 3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;;2. Un an et plus;Appart 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;;10,0;11,5;13,3;15,9;19,5;13,2;420;500;646;796;971;678;51;4930;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 1P;12,4;15,0;17,3;20,7;22,7;17,2;336;399;473;546;650;487;28;1202;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 2P;10,2;11,9;13,7;15,8;18,3;13,7;423;497;596;696;795;600;44;2108;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 3P;9,5;10,8;12,4;13,8;15,3;12,4;606;696;795;912;1025;816;66;1090;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 4P et plus;8,3;9,9;11,3;12,2;13,3;11,2;725;796;986;1192;1386;1023;92;530;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;1. Moins 1 an;;11,1;12,8;14,8;17,9;20,9;14,5;408;500;646;785;945;669;46;1466;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;;10,0;11,3;13,1;15,4;18,4;12,9;427;512;645;794;952;671;52;5543;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 1P;11,8;14,1;16,6;19,8;21,8;16,4;323;411;477;562;695;490;30;1409;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 2P;10,5;12,1;13,5;15,4;17,1;13,5;442;500;596;683;795;603;45;2114;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 3P;9,5;10,7;11,7;13,3;14,8;11,9;612;686;762;865;994;784;66;1532;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 4P et plus;8,6;10,0;11,2;12,9;13,5;11,3;696;846;994;1150;1350;1004;89;488;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;1. Moins 1 an;;11,2;12,4;14,2;16,7;19,1;14,0;442;520;665;800;993;696;50;1525;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;;10,3;11,6;13,4;15,9;18,8;13,2;431;522;651;804;1000;694;52;5732;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 1P;12,4;14,6;17,0;19,9;22,5;16,8;358;425;481;557;625;490;29;1600;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 2P;10,7;11,9;13,7;15,5;17,6;13,7;447;537;622;700;794;621;45;2105;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 3P;9,9;10,8;11,9;13,5;15,0;12,3;627;704;805;938;1023;827;67;1468;;Estimation directe
